Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
PORSCHE Cayenne Turbo S e-Hybrid,4,8,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,LPRXT04.0CH8,standard SUV,3,16/34,20/46,18/39,5,No,362
PORSCHE Cayenne Turbo S e-Hybrid,4,8,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,LPRXT04.0CH8,standard SUV,3,16/34,20/46,18/39,5,No,362
PORSCHE Panamera Turbo S e-Hybrid,4,8,AMS-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,LPRXV04.0PH8,large car,3,19/46,22/51,20/48,7,No,289
PORSCHE Panamera Turbo S e-Hybrid,4,8,AMS-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,LPRXV04.0PH8,large car,3,19/46,22/51,20/48,7,No,289
PORSCHE Panamera Turbo S e-Hybrid Exec,4,8,AMS-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,LPRXV04.0PH8,large car,3,19/46,22/51,20/48,7,No,289
PORSCHE Panamera Turbo S e-Hybrid Exec,4,8,AMS-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,LPRXV04.0PH8,large car,3,19/46,22/51,20/48,7,No,289
PORSCHE Panamera Turbo S e-Hybrid ST,4,8,AMS-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,LPRXV04.0PH8,large car,3,19/46,22/51,20/48,7,No,289
PORSCHE Panamera Turbo S e-Hybrid ST,4,8,AMS-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,LPRXV04.0PH8,large car,3,19/46,22/51,20/48,7,No,289
FERRARI SF90 Stradale Coupe,3.9,8,AutoMan-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,MFEXV03.9HYB,small car,3,16/51,20/51,18/51,4,No,403
FERRARI SF90 Stradale Coupe,3.9,8,AutoMan-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,MFEXV03.9HYB,small car,3,16/51,20/51,18/51,4,No,403
PORSCHE Cayenne Turbo S e-Hybrid,4,8,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,MPRXT04.0CH8,standard SUV,3,17/40,20/44,18/42,6,No,320
PORSCHE Cayenne Turbo S e-Hybrid,4,8,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,MPRXT04.0CH8,standard SUV,3,17/40,20/44,18/42,6,No,320
PORSCHE Panamera Turbo S E-Hybrid,4,8,AMS-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,MPRXV04.0PH8,large car,3,18/45,22/51,19/48,7,No,274
PORSCHE Panamera Turbo S E-Hybrid,4,8,AMS-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,MPRXV04.0PH8,large car,3,18/45,22/51,19/48,7,No,274
PORSCHE Panamera Turbo S E-Hybrid Exec,4,8,AMS-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,MPRXV04.0PH8,large car,3,18/45,22/51,19/48,7,No,274
PORSCHE Panamera Turbo S E-Hybrid Exec,4,8,AMS-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,MPRXV04.0PH8,large car,3,18/45,22/51,19/48,7,No,274
PORSCHE Panamera Turbo S E-Hybrid ST,4,8,AMS-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,MPRXV04.0PH8,large car,3,18/45,22/51,19/48,7,No,274
PORSCHE Panamera Turbo S E-Hybrid ST,4,8,AMS-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,MPRXV04.0PH8,large car,3,18/45,22/51,19/48,7,No,274
FERRARI SF90 Spider,3.9,8,AutoMan-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,NFEXV03.9HYB,small car,3,16/42,19/46,17/44,5,No,413
FERRARI SF90 Spider,3.9,8,AutoMan-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,NFEXV03.9HYB,small car,3,16/42,19/46,17/44,5,No,413
FERRARI SF90 Stradale,3.9,8,AutoMan-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,NFEXV03.9HYB,small car,3,16/51,20/51,18/51,5,No,403
FERRARI SF90 Stradale,3.9,8,AutoMan-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,NFEXV03.9HYB,small car,3,16/51,20/51,18/51,5,No,403
PORSCHE Cayenne Turbo S / E-Hybrid,4,8,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,NPRXT04.0CH8,standard SUV,3,17/40,20/44,18/42,6,No,320
PORSCHE Cayenne Turbo S / E-Hybrid,4,8,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,NPRXT04.0CH8,standard SUV,3,17/40,20/44,18/42,6,No,320
PORSCHE PanameraTurboSE-Hybrid/Exec/ST,4,8,AMS-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,NPRXV04.0PH8,large car,3,18/45,22/51,19/48,7,No,274
PORSCHE PanameraTurboSE-Hybrid/Exec/ST,4,8,AMS-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,NPRXV04.0PH8,large car,3,18/45,22/51,19/48,7,No,274
BMW XM,4.4,8,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,PBMXT04.4H09,standard SUV,7,12/46,17/46,14/46,7,Yes,244
BMW XM,4.4,8,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,PBMXT04.4H09,standard SUV,7,12/46,17/46,14/46,7,Yes,244
FERRARI SF90 Spider,3.9,8,AutoMan-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,PFEXV03.9HYB,small car,3,16/42,19/46,17/44,5,No,413
FERRARI SF90 Spider,3.9,8,AutoMan-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,PFEXV03.9HYB,small car,3,16/42,19/46,17/44,5,No,413
FERRARI SF90 Stradale,3.9,8,AutoMan-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,PFEXV03.9HYB,small car,3,16/51,20/51,18/51,5,No,403
FERRARI SF90 Stradale,3.9,8,AutoMan-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,PFEXV03.9HYB,small car,3,16/51,20/51,18/51,5,No,403
